question,answer,source_file
Why can asset-quality risks appear late?,Asset quality can react with a lag after economic weakness.,sbv_monetary_policy_2024.md
Why might lower funding costs fail to stimulate borrowing?,Weak confidence collateral expected sales or bank risk appetite can block transmission.,sbv_monetary_policy_2024.md
Can monetary conditions change while policy rates are unchanged?,Yes. Credit targets liquidity operations FX management and supervision also shape conditions.,sbv_monetary_policy_2024.md
What VAT rate applied to eligible goods and services?,Eligible items normally taxed at 10% received an 8% VAT rate.,fiscal_policy_support_2024.md
Was the 8% VAT rate available for every transaction?,No. Excluded categories remained outside the reduction.,fiscal_policy_support_2024.md
Name financial categories excluded from the VAT reduction.,Finance banking securities and insurance were among the excluded categories.,fiscal_policy_support_2024.md
Were real estate and special-consumption-tax goods eligible for the VAT cut?,No. Those categories were excluded.,fiscal_policy_support_2024.md
What payment deadlines were extended?,Deadlines for selected VAT corporate income tax personal income tax and land rent were extended.,fiscal_policy_support_2024.md
Who could qualify for tax and land-rent deferrals?,Eligible enterprises organizations households and individuals could qualify.,fiscal_policy_support_2024.md
Does a tax deferral erase the tax liability?,No. It changes payment timing without normally eliminating the liability.,fiscal_policy_support_2024.md
What is the immediate benefit of a tax deferral?,It preserves short-term business liquidity.,fiscal_policy_support_2024.md
How can a business use cash retained by a deferral?,It can fund payroll inventories or working capital until payment is due.,fiscal_policy_support_2024.md
Which fuel-related tax was reduced in 2024?,Environmental protection tax on petrol oil and lubricants was reduced.,fiscal_policy_support_2024.md
How can lower fuel taxes affect the economy?,They can moderate household business transport and production costs.,fiscal_policy_support_2024.md
What was a central fiscal priority in 2024?,Accelerating public investment was a central priority.,fiscal_policy_support_2024.md
How can infrastructure investment affect the economy over time?,It supports current demand and can expand future productive capacity.,fiscal_policy_support_2024.md
Which implementation constraints affect public-investment impact?,Project readiness procurement site clearance implementation quality and domestic content matter.,fiscal_policy_support_2024.md
What happens when public investment disbursement is slow?,The intended fiscal stimulus is delayed.,fiscal_policy_support_2024.md
How does a tax-rate cut differ from a deferral?,A rate cut reduces eligible tax payable while a deferral shifts payment through time.,fiscal_policy_support_2024.md
How does public investment differ from tax support?,Public investment creates direct government demand.,fiscal_policy_support_2024.md
What is a risk of poorly targeted fiscal relief?,It can raise fiscal costs without producing durable productivity gains.,fiscal_policy_support_2024.md
